ID,LANGUAGE_ID,ACRONYM,LABEL
GP1203,SV,ALDE,Gruppen Alliansen liberaler och demokrater för Europa
GP1204,EN,Greens/EFA,Group of the Greens/European Free Alliance
GP1204,ES,Verdes/ALE,Grupo de los Verdes/Alianza Libre Europea
GP1204,BG,Verts/ALE,Група на Зелените/Европейски свободен алианс
GP1204,CS,Zelení/ESA,Skupina Zelených/Evropské svobodné aliance
GP1204,DA,Grønne/EFA,Gruppen De Grønne/Den Europæiske Fri Alliance
GP1204,DE,Grünen/EFA,Fraktion der Grünen / Freie Europäische Allianz
GP1204,EL,Verts/ALE,Ομάδα τωv Πρασίvωv / Ευρωπαϊκή Ελεύθερη Συμμαχία
GP1204,ET,Verts/ALE,Roheliste / Euroopa Vabaliidu fraktsioon
GP1204,FI,Verts/ALE,Vihreät / Euroopan vapaa allianssi -ryhmä
GP1204,FR,Verts/ALE,Groupe des Verts/Alliance libre européenne
GP1204,GA,Verts/ALE,An Grúpa Glas/Grúpa na Saor-Comhghuaillíochta Eorpaí
GP1204,HR,Verts/ALE,Klub zastupnika Zelenih/Europskog slobodnog saveza
GP1204,HU,Zöldek/ESS,a Zöldek/ az Európai Szabad Szövetség Képviselőcsoportja
GP1204,IT,Verdi/ALE,Gruppo Verde/Alleanza libera europea
GP1204,LV,Verts/ALE,Zaļo un Eiropas Brīvās apvienības grupa
GP1204,LT,Verts/ALE,Žaliųjų frakcija/Europos laisvasis aljansas
GP1204,MT,Verts/ALE,Grupp tal-Ħodor/Alleanza Ħielsa Ewropea
GP1204,NL,Verts/ALE,Fractie De Groenen/Vrije Europese Alliantie
GP1204,PL,Verts/ALE,Grupa Zielonych / Wolne Przymierze Europejskie
GP1204,PT,Verdes/ALE,Grupo dos Verdes/Aliança Livre Europeia
GP1204,RO,Verts/ALE,Grupul Verzilor/Alianța Liberă Europeană
GP1204,SK,Verts/ALE,Skupina zelených/Európska slobodná aliancia
GP1204,SL,Zelení/ESZ,Skupina Zelenih/Evropske svobodne zveze
GP1204,SV,Gröna/EFA,Gruppen De gröna/Europeiska fria alliansen
GP1205,EN,ECR,European Conservatives and Reformists Group
GP1205,ES,CRE,Grupo de los Conservadores y Reformistas Europeos
GP1205,BG,ЕКР,Европейски консерватори и реформисти
GP1205,CS,ECR,Skupina Evropských konzervativců a reformistů
GP1205,DA,EKR,De Europæiske Konservative og Reformister
GP1205,DE,EKR,Fraktion Europäische Konservative und Reformisten
GP1205,EL,ΕΣΜ,Ομάδα των Ευρωπαίων Συντηρητικών και Μεταρρυθμιστών
GP1205,ET,ECR,Euroopa Konservatiivide ja Reformistide fraktsioon
GP1205,FI,EKR,Euroopan konservatiivit ja reformistit
GP1205,FR,ECR,Groupe des Conservateurs et Réformistes européens
GP1205,GA,ECR,Coimeádaithe agus Leasaitheoirí na hEorpa
GP1205,HR,ECR,Europski konzervativci i reformisti
GP1205,HU,ECR,Európai Konzervatívok és Reformerek Képviselőcsoport
GP1205,IT,ECR,Gruppo dei Conservatori e Riformisti europei
GP1205,LV,EKR,Eiropas Konservatīvo un reformistu grupa
GP1205,LT,EKR,Europos konservatorių ir reformuotojų frakcija
GP1205,MT,ECR,Grupp tal-Konservattivi u Riformisti Ewropej
GP1205,NL,ECR,Fractie Europese Conservatieven en Hervormers
GP1205,PL,EKR,Europejscy Konserwatyści i Reformatorzy
GP1205,PT,CRE,Grupo dos Conservadores e Reformistas Europeus
GP1205,RO,CRE,Grupul Conservatorilor și Reformiștilor Europeni
GP1205,SK,EKR,Európski konzervatívci a reformisti
GP1205,SL,ECR,Skupina Evropskih konservativcev in reformistov
GP1205,SV,ECR,Gruppen Europeiska konservativa och reformister
GP1206,EN,GUE/NGL,Confederal Group of the European United Left - Nordic Green Left
GP1206,ES,GUE/NGL,Grupo Confederal de la Izquierda Unitaria Europea/Izquierda Verde Nórdica
GP1206,BG,GUE/NGL,Конфедеративна група на Европейската обединена левица - Северна зелена левица
GP1206,CS,GUE/NGL,Skupina konfederace Evropské sjednocené levice a Severské zelené levice
GP1206,DA,GUE/NGL,Den Europæiske Venstrefløjs Fællesgruppe/Nordisk Grønne Venstre
GP1206,DE,GUE/NGL,Konföderale Fraktion der Vereinigten Europäischen Linken/Nordische Grüne Linke
GP1206,EL,GUE/NGL,Συνομοσπονδιακή Ομάδα της Ευρωπαϊκής Ενωτικής Αριστεράς/Αριστερά των Πρασίνων των Βορείων Χωρών
GP1206,ET,GUE/NGL,Euroopa Ühendatud Vasakpoolsete / Põhjamaade Roheliste Vasakpoolsete liitfraktsioon
GP1206,FI,GUE/NGL,Euroopan yhtyneen vasemmiston konfederaatioryhmä/Pohjoismaiden vihreä vasemmisto
GP1206,FR,GUE/NGL,Groupe confédéral de la Gauche unitaire européenne/Gauche verte nordique
GP1206,GA,GUE/NGL,Grúpa Cónasctha den Chlé Aontaithe Eorpach - den Chlé Ghlas Nordach
GP1206,HR,GUE/NGL,Konfederalni klub zastupnika Ujedinjene europske ljevice i Nordijske zelene ljevice
GP1206,HU,GUE/NGL,az Egységes Európai Baloldal/Északi Zöld Baloldal képviselőcsoport
GP1206,IT,GUE/NGL,Gruppo confederale della Sinistra unitaria europea/Sinistra verde nordica
GP1206,LV,GUE/NGL,Eiropas Apvienotā kreiso un Ziemeļvalstu Zaļo kreiso spēku konfederālā grupa
GP1206,LT,GUE/NGL,Europos vieningųjų kairiųjų jungtinė frakcija/Šiaurės šalių žalieji kairieji
GP1206,MT,GUE/NGL,Grupp Konfederali tax-Xellug Magħqud Ewropew - Xellug Aħdar Nordiku
GP1206,NL,GUE/NGL,Confederale Fractie Europees Unitair Links/Noords Groen Links
GP1206,PL,GUE/NGL,Konfederacyjna Grupa Zjednoczonej Lewicy Europejskiej / Nordycka Zielona Lewica
GP1206,PT,GUE/NGL,Grupo Confederal da Esquerda Unitária Europeia/Esquerda Nórdica Verde
GP1206,RO,GUE/NGL,Grupul Confederal al Stângii Unite Europene/Stânga Verde Nordică
GP1206,SK,GUE/NGL,Konfederatívna skupina Európskej zjednotenej ľavice - Severskej zelenej ľavice
GP1206,SL,GUE/NGL,Konfederalna skupina Evropske združene levice - Zelene nordijske levice
GP1206,SV,GUE/NGL,Gruppen Europeiska enade vänstern/Nordisk grön vänster
GP1207,EN,EFD,Europe of freedom and democracy Group
GP1207,ES,EFD,Europa de la Libertad y de la Democracia
GP1207,BG,EFD,Група „Европа на свободата и демокрацията”
GP1207,CS,EFD,Evropa Svobody a Demokracie
GP1207,DA,EFD,Gruppen for Europæisk Frihed og Demokrati
GP1207,DE,EFD,Fraktion „Europa der Freiheit und der Demokratie“
GP1207,EL,EFD,Ευρώπη ελευθερίας και δημοκρατίας
GP1207,ET,EFD,Vaba ja Demokraatliku Euroopa fraktsioon
GP1207,FI,EFD,Vapaa ja demokraattinen Eurooppa
GP1207,FR,EFD,Groupe Europe libertés démocratie
