ID,LANGUAGE_ID,ACRONYM,LABEL
GP0201,EN,S,Socialist Group
GP0201,ES,S,Grupo Socialista
GP0201,BG,S,Група на социалистите
GP0201,CS,S,Skupina socialistů
GP0201,DA,S,Den Socialistiske Gruppe
GP0201,DE,S,Sozialistische Fraktion
GP0201,EL,S,Σοσιαλιστική Ομάδα
GP0201,ET,S,Sotsialistide fraktsioon
GP0201,FI,S,Sosiaalidemokraattisen puolueen ryhmä
GP0201,FR,S,Groupe socialiste
GP0201,GA,S,An Grúpa Sóisialach
GP0201,HR,S,Klub zastupnika socijalista
GP0201,HU,S,Szocialista Csoport
GP0201,IT,S,Gruppo socialista
GP0201,LV,S,Socialistu grupa
GP0201,LT,S,Socialistu grupe
GP0201,MT,S,Grupp Socjalista
GP0201,NL,S,Socialistische Fractie
GP0201,PL,S,Grupa Socjalistów
GP0201,PT,S,Grupo Socialista
GP0201,RO,S,Grupul Socialist
GP0201,SK,S,Skupina socialistov
GP0201,SL,S,Skupina socialistov
GP0201,SV,S,Socialistgruppen
GP0202,EN,PPE,Group of the European People's Party (Christian-Democratic Group)
GP0202,ES,PPE,Grupo del Partido Popular Europeo (Grupo Demócrata Cristiano)
GP0202,BG,PPE,Група на Европейската народна партия (Група на християндемократите)
GP0202,CS,PPE,Skupina Evropské lidové strany (Skupina křesťanské demokracie)
GP0202,DA,PPE,Det Europæiske Folkepartis Gruppe (Den Kristelig-Demokratiske Gruppe)
GP0202,DE,PPE,Fraktion der Europäischen Volkspartei (Christlich-demokratische Fraktion)
GP0202,EL,PPE,Ομάδα του Ευρωπαϊκού Λαϊκού Κόμματος (Χριστιανοδημοκράτες)
GP0202,ET,PPE,Euroopa rahvapartei fraktsioon (kristlik-demokraatide fraktsioon)
GP0202,FI,PPE,Euroopan kansanpuolueen ryhmä (kristillis-demokraattinen puolueryhmä)
GP0202,FR,PPE,Groupe du parti populaire européen (Groupe démocrate-chrétien)
GP0202,GA,PPE,Grúpa Pháirtí an Phobail Eorpaigh (Grúpa na nDaonlathaithe Críostaí)
GP0202,HR,PPE,Klub zastupnika Europske pučke stranke (Kršćansko-demokratski klub zastupnika)
GP0202,HU,PPE,Az Európai Néppárt Csoportja (Kereszténydemokrata Csoport)
GP0202,IT,PPE,Gruppo del partito popolare europeo (Gruppo democratico cristiano)
