PARTY_ID,TYPE,SEATS_TOTAL,GROUP_ID,UPDATE_STATUS,UPDATE_TIME
DE01,PARTY,29,EPP,PROVISIONAL,2024-06-10 02:37
DE02,PARTY,14,SD,PROVISIONAL,2024-06-10 02:37
DE03,PARTY,12,GREENSEFA,PROVISIONAL,2024-06-10 02:37
DE04,PARTY,15,NI,PROVISIONAL,2024-06-10 02:37
DE05,PARTY,3,Theleft,PROVISIONAL,2024-06-10 02:37
DE06,PARTY,5,Renew,PROVISIONAL,2024-06-10 02:37
DE07,PARTY,3,Renew,PROVISIONAL,2024-06-10 02:37
DE08,PARTY,1,Theleft,PROVISIONAL,2024-06-10 02:37
DE09,PARTY,6,Others,PROVISIONAL,2024-06-10 02:37
DE11,PARTY,1,EPP,PROVISIONAL,2024-06-10 02:37
DE12,PARTY,1,GREENSEFA,PROVISIONAL,2024-06-10 02:37
DE13,PARTY,2,NI,PROVISIONAL,2024-06-10 02:37
DE14,PARTY,3,GREENSEFA,PROVISIONAL,2024-06-10 02:37
DE16,PARTY,1,Others,PROVISIONAL,2024-06-10 02:37
